Sno,Parish,Village,Category,Year,Under 5s
1,BUGOYE,BUGOYE,ICCM,2021,438
2,BUGOYE,KANYAMINIGO,ICCM,2021,312
3,BUGOYE,MURAMBA I,ICCM,2021,446
4,BUGOYE,RWAKINGI IB,ICCM,2021,316
5,BUGOYE,KISAMBA I,ICCM,2021,625
6,BUGOYE,KISAMBA II,ICCM,2021,529
7,IBANDA,RUBONI,ICCM,2021,
8,IBANDA,NYAKABUGHA,ICCM,2021,
9,IBANDA,MIHUNGA,ICCM,2021,
10,IBANDA,MIRIMBO,ICCM,2021,557
11,KATOOKE,KATOOKE I,ICCM,2021,569
12,KATOOKE,KATOOKE II,ICCM,2021,590
13,KATOOKE,NYANGONGE,ICCM,2021,622
14,KATOOKE,KIRONGO,ICCM,2021,396
15,KIBIRIZI,IHANI,ICCM,2021,208
16,KIBIRIZI,KIKOKERA,ICCM,2021,96
17,KIBIRIZI,BULINDIGURU,ICCM,2021,541
18,KIBIRIZI,KIBIRIZI,ICCM,2021,239
19,MUHAMBO,NDUGUTU EAST,ICCM,2021,346
20,MUHAMBO,NDUGUTU WEST,ICCM,2021,345
21,MUHAMBO,MAGHOMA,ICCM,2021,623
22,MUHAMBO,BUNYANGONI,ICCM,2021,391
23,BUGOYE,MURAMBA II,MCH,2021,561
24,BUGOYE,RWAKINGI 1A,MCH,2021,229
25,IBANDA,IBANDA I,MCH,2021,
26,IBANDA,IBANDA II,MCH,2021,
27,IBANDA,KIHARARA,MCH,2021,458
28,KATOOKE,KEMIHOKO,MCH,2021,246
29,KATOOKE,KIHINDI,MCH,2021,410
30,KATOOKE,KINYANGOYE,MCH,2021,428
31,KATOOKE,MAPATA,MCH,2021,423
32,KATOOKE,MULEHE,MCH,2021,431
33,KIBIRIZI,KASANZI,MCH,2021,152
34,MUHAMBO,KATUMBA,MCH,2021,677
35,MUHAMBO,MUHAMBO,MCH,2021,498
